,Total,Moneda Nacional,No ajustable por CER,Ajustable por CER,Moneda Extranjera
2019-01-01 00:00:00,216771.70000000004,43886.0,23231.600000000002,20654.4,172870.80000000005
2019-02-01 00:00:00,219175.70000000004,44347.600000000006,23465.5,20882.100000000002,174813.20000000004
2019-03-01 00:00:00,213330.20000000004,41501.1,20538.199999999997,20962.9,171814.30000000005
2019-04-01 00:00:00,212709.8,43277.1,21581.7,21695.399999999998,169417.9
2019-05-01 00:00:00,210302.70000000004,43454.1,21305.9,22148.199999999997,166833.80000000005
2019-06-01 00:00:00,214827.1,47616.7,22917.2,24699.5,167195.5
2019-07-01 00:00:00,213511.0,46812.299999999996,20976.0,25836.299999999996,166683.7
2019-08-01 00:00:00,189591.40000000002,35876.9,16218.900000000001,19658.0,153699.80000000002
2019-09-01 00:00:00,191006.50000000003,37458.899999999994,16670.9,20787.999999999996,153532.90000000002
2019-10-01 00:00:00,191116.40000000005,37123.700000000004,16103.4,21020.300000000003,153977.70000000004
2019-11-01 00:00:00,191685.80000000005,37938.5,16024.3,21914.199999999997,153732.30000000005
2019-12-01 00:00:00,194152.79999999996,38722.4,15960.0,22762.4,155415.59999999998
2020-01-01 00:00:00,195781.69999999998,39284.9,15798.9,23486.0,156481.5
2020-02-01 00:00:00,195788.40000000002,38765.0,15181.199999999999,23583.800000000003,157008.7
2020-03-01 00:00:00,199726.0,42021.3,13600.599999999999,28420.7,157690.0
2020-04-01 00:00:00,195138.30000000002,37392.100000000006,13086.0,24306.100000000002,157731.0
2020-05-01 00:00:00,198279.20000000004,39798.600000000006,13081.3,26717.300000000003,158465.40000000002
2020-06-01 00:00:00,196487.89999999997,37701.7,11004.599999999999,26697.100000000002,158771.9
2020-07-01 00:00:00,201425.3,41623.799999999996,11070.6,30553.199999999997,159786.1
2020-08-01 00:00:00,201691.2,41596.4,10753.9,30842.5,160079.90000000002
2020-09-01 00:00:00,207294.69999999998,42697.90000000001,10995.2,31702.700000000004,164582.19999999998
2020-10-01 00:00:00,210389.59999999998,45824.1,14135.199999999999,31688.899999999998,164550.59999999998
2020-11-01 00:00:00,212004.2,46557.0,14156.4,32400.6,165432.7
2020-12-01 00:00:00,213925.59999999998,47589.100000000006,13399.6,34189.50000000001,166321.99999999997
2021-01-01 00:00:00,214176.2,47876.2,12974.300000000001,34901.899999999994,166285.50000000003
2021-02-01 00:00:00,215347.00000000003,49078.5,12615.6,36462.9,166254.00000000003
2021-03-01 00:00:00,215900.9,49807.100000000006,12421.8,37385.3,166079.4
2021-04-01 00:00:00,218930.90000000002,52695.100000000006,12518.600000000002,40176.5,166220.2
2021-05-01 00:00:00,221396.2,55062.9,13024.099999999999,42038.8,166317.90000000002
2021-06-01 00:00:00,222214.7,56061.200000000004,12870.4,43190.8,166138.7
2021-07-01 00:00:00,221614.79999999996,55451.299999999996,12844.5,42606.799999999996,166147.19999999998
2021-08-01 00:00:00,221118.4,54985.799999999996,13161.4,41824.399999999994,166116.4
2021-09-01 00:00:00,223538.8,55629.6,12265.6,43364.0,167894.4
2021-10-01 00:00:00,225155.20000000004,57266.3,12449.5,44816.8,167874.00000000003
2021-11-01 00:00:00,227450.80000000002,59279.40000000001,12720.800000000001,46558.600000000006,168156.5
2021-12-01 00:00:00,230368.89999999997,60333.1,12896.5,47436.6,170020.89999999997
2022-01-01 00:00:00,231497.1,61321.7,13035.8,48285.9,170160.5
2022-02-01 00:00:00,232781.1,62612.8,12869.3,49743.5,170153.40000000002
2022-03-01 00:00:00,232736.30000000002,62655.1,13018.6,49636.5,170066.30000000002
2022-04-01 00:00:00,233991.4,64174.5,11542.7,52631.799999999996,169801.9
2022-05-01 00:00:00,236090.1,66180.00000000001,11931.1,54248.90000000001,169895.2
2022-06-01 00:00:00,236639.90000000002,66860.3,11968.9,54891.4,169764.6
2022-07-01 00:00:00,237109.8,67451.8,12311.0,55140.8,169642.8
2022-08-01 00:00:00,234754.1,65181.4,15935.9,49245.5,169557.80000000002
2022-09-01 00:00:00,237479.00000000003,65305.3,16509.199999999997,48796.100000000006,172158.80000000002
2022-10-01 00:00:00,238658.49999999997,66196.79999999999,16276.0,49920.799999999996,172446.69999999998
2022-11-01 00:00:00,238022.69999999998,65298.60000000001,16793.4,48505.20000000001,172709.09999999998
2022-12-01 00:00:00,239530.5,65638.1,17241.0,48397.1,173877.5
2023-01-01 00:00:00,239634.59999999998,65576.0,23212.8,42363.200000000004,174043.69999999998
2023-02-01 00:00:00,239465.49999999997,65521.700000000004,23266.300000000003,42255.4,173928.89999999997
2023-03-01 00:00:00,260381.29999999996,86260.6,26036.7,60223.9,174105.79999999996
2023-04-01 00:00:00,263236.80000000005,88980.9,28383.800000000003,60597.1,174241.0
2023-05-01 00:00:00,267389.7,93293.7,29110.0,64183.7,174081.1
2023-06-01 00:00:00,287471.6,113164.6,45883.0,67281.6,174292.19999999998
2023-07-01 00:00:00,291311.3,114142.70000000001,45287.0,68855.70000000001,177152.89999999997
2023-08-01 00:00:00,279475.89999999997,102353.2,44521.4,57831.799999999996,177107.9
2023-09-01 00:00:00,288305.7,109126.7,44807.49999999999,64319.200000000004,179164.3
2023-10-01 00:00:00,299638.49999999994,122013.0,46001.5,76011.5,177608.69999999995
2023-11-01 00:00:00,309934.3,132157.2,47198.799999999996,84958.40000000001,177761.39999999997
2023-12-01 00:00:00,263424.69999999995,85520.0,43313.8,42206.2,177890.69999999998
2024-01-01 00:00:00,272907.6,93370.40000000001,43288.4,50082.00000000001,179523.09999999998
2024-02-01 00:00:00,280981.2,109034.40000000001,38836.7,70197.70000000001,171932.5
2024-03-01 00:00:00,300792.8,128816.9,16342.5,112474.4,171961.4
2024-04-01 00:00:00,310283.80000000005,138336.6,13588.699999999999,124747.90000000001,171929.8
2024-05-01 00:00:00,319317.49999999994,149414.19999999998,13996.800000000001,135417.4,169888.59999999998
2024-06-01 00:00:00,325610.0,155736.3,13980.600000000002,141755.69999999998,169859.3
2024-07-01 00:00:00,305124.10000000003,136232.6,15015.3,121217.3,168876.3
2024-08-01 00:00:00,306098.39999999997,137087.19999999998,13454.300000000001,123632.9,168995.9
2024-09-01 00:00:00,309419.8,140340.30000000002,13126.7,127213.6,169064.2
2024-10-01 00:00:00,312276.5,143302.1,15043.699999999999,128258.4,168958.9
2024-11-01 00:00:00,316613.6,147779.6,16922.9,130856.7,168818.49999999997
2024-12-01 00:00:00,317995.39999999997,149247.5,18228.6,131018.90000000001,168732.6
2025-01-01 00:00:00,321136.19999999995,155134.9,27595.7,127539.2,165985.99999999997
2025-02-01 00:00:00,317393.9,151382.3,28129.4,123252.9,165996.2
